"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Khalid AlEnezi","MOD - Royal Saudi Air Forces (RSAF)","Training of aircrews on flight simulators for VIP aircraft and military aircraft","6-Dropped","26/08/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2659","0","20/08/2026"
"Khalid AlEnezi","Royal Protocol","Cybersecurity Operations and Maintenance Project.","6-Dropped","26/08/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","MPO","Etimad","SF-2026-2660","0","20/08/2026"
"Khalid AlEnezi","Saudi Tourism Authority","Renewal of enterprise architecture tool licenses and technical support","2-To Be Qualified","31/12/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2661","0","20/08/2026"
"Khalid AlEnezi","MOD - Armed Forces","Supply of consumable training targets","6-Dropped","26/08/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2662","0","20/08/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Digital Care Center Operations","2-To Be Qualified","31/12/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2663","1000000","28/08/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","operation and maintenance of e-services for the Community Development Agency.","6-Dropped","07/09/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2664","1000000","27/08/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Unified Customer Relationship Management (CRM) System Operations Project.","6-Dropped","07/09/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2665","1000000","04/09/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Platforms and Applications Systems Operations and Maintenance Project.","1-Identified","31/12/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2666","1000000","03/09/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Digital Trust Operations Project","1-Identified","31/12/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","SCM","Etimad","SF-2026-2667","1000000","23/08/2026"
"Abdullah Awleyaa","The National Program for Community Development in the Regions","????? ????? ????? ???????? ????? ????????? ???????? ???????? ???????????","6-Dropped","09/09/2026","17/08/2026","Sales & BD 1","RFP","Sell Direct","SCM","Etimad","SF-2026-2668","0","25/04/2026"
"Abdullah Alfawaz","Ministry of Culture","MoC DTO Budgetary estimate","4-Submitted - Under Evaluation","31/10/2026","17/08/2026","Sales & BD 2","RFQ","Sell Through STC","MPO","Non Etimad","SF-2026-2669","370191","27/08/2026"
"Meshari Aljurbua","STC Bank","PO Clearance STC BANK MPO","4-Submitted - Under Evaluation","08/12/2026","17/08/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-2670","18387777","23/08/2026"
"Bayan AlOlayan","Riyadh infostructure project center","Renewal of the RIPC Committees System licenses and technical support for one year, starting in 2026.","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2671","0","24/03/2026"
"Bayan AlOlayan","Saudi Human Rights Commission","Renewal of the Cybersecurity Event Records Monitoring Center licenses.","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2672","0","27/03/2026"
"Bayan AlOlayan","Jizan Municipality","Operation and Maintenance of Computer Systems and the Electronic Portal for Jazan Municipality (Replacement Contract)","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2673","0","03/05/2026"
"Bayan AlOlayan","Jouf Municipality","Supply and Installation of an IT Service Management System for Al-Jouf Municipality","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2674","0","01/05/2026"
"Bayan AlOlayan","Saudi Human Rights Commission","Operation and Support of Digital Platforms","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2675","0","29/05/2026"
"Bayan AlOlayan","General Authority of Endowments","Technical Support Services for Specialized Systems (Transactions, Archiving, Waqfi Platform, and Najiz Platform)","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2676","0","01/07/2026"
"Bayan AlOlayan","Ministry of Hajj","Development, Operation, and Support of the Strategy Management, Task Management, and Project Management Systems","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2677","0","08/08/2026"
"Bayan AlOlayan","Qassim Municipality","Operation and Maintenance of the Operations Center at Qassim Municipality","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2678","0","08/08/2026"
"Bayan AlOlayan","Real Estate Development Fund","Cloud Contact Center Enhancement and Development Project","6-Dropped","17/08/2026","17/08/2026","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2026-2679","0","15/08/2026"
