"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","STCSQR-24093 - Renewal project 1390","7-Handover Completed","06/07/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1272","549548","14/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project H1","7-Handover Completed","22/04/2026","02/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1273","29300000","01/04/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Jawwy BAU Project 2025","7-Handover Completed","05/05/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1274","439065","31/03/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project","7-Handover Completed","06/04/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1275","55948","05/02/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1183","7-Handover Completed","05/04/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1276","399705","05/02/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1641","6-Cancelled","05/05/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1277","6354798","05/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","AI&DS - AI Digital Solutions Excellence BAU 2026","7-Handover Completed","12/07/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1278","10782172","06/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project CAD wallet 1183s","4-Submitted - Under Evaluation","24/12/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1279","361718","05/02/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1455","7-Handover Completed","16/04/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1280","73266","05/02/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","STCSQR-21449 - project code1297","1-Identified","30/11/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1281","150000","06/10/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","ITP CAM Renewal project","7-Handover Completed","24/05/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1282","1984429","20/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project","7-Handover Completed","14/05/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1283","3681652","17/04/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1641","6-Cancelled","30/06/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1284","2758571","29/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project","7-Handover Completed","24/05/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1285","2573207","22/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1183","7-Handover Completed","29/03/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1286","392527","05/02/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Corpe Renewal project 1633","7-Handover Completed","30/07/2026","02/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1287","877600","08/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BAUs & Projections Forecast - EBU Service Order BAU 1183 BB","7-Handover Completed","11/06/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1289","45579175","12/08/2025"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Service standardization for closed","7-Handover Completed","30/07/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1290","9259037","01/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","INFRA-Renewal project 1314","6-Cancelled","05/05/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1291","10049159","05/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","CAM - EBU Demand 2025 - CAM Apps - Tribe Q1","7-Handover Completed","30/07/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1292","6494232","13/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1632","6-Cancelled","05/05/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1293","7881632","05/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1183","7-Handover Completed","31/03/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1294","8977419","05/02/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1641","6-Cancelled","05/05/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1295","6354798","05/05/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","BFM Renewal-1","7-Handover Completed","30/07/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1296","3691460","06/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Consultancy Budget-SEA-2026-2027 - project 1306","7-Handover Completed","12/04/2026","03/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1297","4147947","30/03/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","CAM - 1404","7-Handover Completed","07/09/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1298","624067","11/08/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1633","7-Handover Completed","27/07/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1299","727795","14/07/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1183","7-Handover Completed","16/03/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1300","678364","05/02/2026"
"Mohammad Alajlan","Nile","Renewal project 1682","7-Handover Completed","18/06/2026","03/12/2025","STC & Sub","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1301","556121","18/02/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1616","1-Identified","13/10/2026","03/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1302","2040909","11/08/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1605","1-Identified","13/10/2026","03/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1303","500526","04/08/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1676","6-Dropped","05/07/2026","03/12/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1304","683254","05/07/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1683","1-Identified","30/09/2026","03/12/2025","STC & Sub","RFQ","Sell Direct","HRO","Non Etimad","SF-2025-1305","300000","09/07/2026"
"Ziyad Aldriwish","Saudi Arabia Catering","SAP Data Entry Resource","6-Cancelled","02/03/2026","03/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1306","700000","09/12/2025"
"Majid Al-Faifi","Ministry of Interior - Headquarters","Traveling of: SatCom On-the-Move Units (SOTM Units)","6-Dropped","13/04/2026","03/12/2025","Sales & BD 2","RFQ","Sell Through solutions","Event Management","Non Etimad","SF-2025-1307","337838","08/12/2025"
"Fajer Alsalloum","Communications, Space and Technology Commission - CST","CR - Budget Increase","6-Dropped","19/01/2026","03/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1308","175371","10/12/2025"
"Bayan AlOlayan","National Real Estate Registration Service Company","MPO Q1 2026","6-Cancelled","03/03/2026","03/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1309","24859950","28/02/2026"
"Bayan AlOlayan","National Real Estate Registration Service Company","MPO Q2 2026","4-Submitted - Under Evaluation","30/09/2026","03/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1310","27000000","31/05/2026"
"Bayan AlOlayan","National Real Estate Registration Service Company","MPO Q3 2026","4-Submitted - Under Evaluation","30/09/2026","03/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1311","27000000","31/08/2026"
"Bayan AlOlayan","National Real Estate Registration Service Company","MPO Q4 2026","1-Identified","31/12/2026","03/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","","SF-2025-1312","24859950","30/11/2026"
"Bayan AlOlayan","National Real Estate Registration Service Company","RER Agent's renewal 1 year","7-Handover Completed","12/02/2026","03/12/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1313","8179326","08/02/2026"
"Bayan AlOlayan","National Real Estate Registration Service Company","RER CLM Technology","7-Handover Completed","18/05/2026","03/12/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1314","950000","12/02/2026"
"Abdullah Alfawaz","Tatweer Education Holding Company","TBC +1000 MPO","4-Submitted - Under Evaluation","30/09/2026","03/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1315","150000000","03/03/2026"
"Bayan AlOlayan","National Housing Services Company - NHC","NHC MBN Building Rental","7-Handover Completed","09/08/2026","03/12/2025","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2025-1316","12001062","30/12/2025"
"Bayan AlOlayan","National Development Fund","Frame work agreement for contact center WO3","6-Dropped","28/04/2026","03/12/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1317","1200000","28/04/2026"
"Bayan AlOlayan","Development Authority Support Office","framework-Procurement, Contracts, Finance, and Budget Empowerment Project","6-Dropped","19/08/2026","03/12/2025","Sales & BD 2","RFI","Sell Direct","Facility Management","Non Etimad","SF-2025-1318","50000000","30/03/2026"
"Bayan AlOlayan","Royal Commission For Riyadh City","cyber security","6-Dropped","19/08/2026","03/12/2025","Sales & BD 2","RFI","Sell Direct","MPO","Non Etimad","SF-2025-1319","15000000","30/03/2026"
"Khalid AlEnezi","Ministry of Sport","Digital Transformation Agency Operations Manual - MOS - FRI","6-Cancelled","15/06/2026","03/12/2025","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-1320","90000000","18/01/2026"
"Khalid AlEnezi","Saudi Tourism Authority","WO 1 - Operating Visitor Care Contact Center","7-Handover Completed","18/03/2026","03/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2025-1321","1677832","26/02/2026"
"Bayan AlOlayan","Ministry of Human Resources & Social Development HRSD","Renewal - Managing and Operating the Call Centers at HRSD","1-Identified","30/11/2026","03/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2025-1322","20826094","30/07/2026"
"Bayan AlOlayan","National Center For Government Resources System","Renewal of the Framework Agreement ? Project for Developing Systems and Applications Using Agile Methodology","1-Identified","29/10/2026","03/12/2025","Sales & BD 2","RFP","Sell Direct","Facility Management","Non Etimad","SF-2025-1323","0","30/04/2026"
"Bayan AlOlayan","National Center For Government Resources System","Rate Card NCGR","1-Identified","22/12/2026","03/12/2025","Sales & BD 2","RFI","Sell Direct","MPO","Non Etimad","SF-2025-1324","93763963","26/08/2025"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1311","6-Dropped","19/08/2026","04/12/2025","STC & Sub","RFQ","Sell Through solutions","F&A","Non Etimad","SF-2025-1325","5829287","01/07/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1680","1-Identified","28/10/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1326","335760","05/08/2026"
"Mohammad Alajlan","Pulse by solutions","Renewal project 1681","1-Identified","28/10/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1327","46403","15/09/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1677","1-Identified","30/12/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1328","999912","30/11/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1676","1-Identified","03/11/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1329","10000","22/09/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1673","1-Identified","18/11/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1330","59000","09/09/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1659","1-Identified","13/12/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1332","2224679","04/11/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1667","1-Identified","21/10/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1333","204021","12/08/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project 1665","1-Identified","11/11/2026","04/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1334","414142","26/08/2026"
"Ziyad Aldriwish","SAL Saudi Logistics Services","Operation and Management - Contact Center","6-Cancelled","01/04/2026","04/12/2025","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1335","1973730","11/12/2025"
"Ziyad Aldriwish","Riyadh Airport Company","CTV access control | operations, maintenance, and support","6-Cancelled","08/02/2026","04/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1336","15000000","11/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","renewal project 1183  \ STC - EDW and BI Enhancement for Customer Experience Index 2020","7-Handover Completed","01/01/2026","07/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1338","19663","17/12/2025"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal project : 1166  - 2026","6-Cancelled","30/06/2026","07/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1339","19500000","29/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","STC HR Infra H2 \ 2026","7-Handover Completed","05/04/2026","07/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1340","75000000","29/03/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","TSA budget 2026 - 1166","1-Identified","24/12/2026","08/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1342","44587156","01/05/2026"
"Mohammad Alajlan","Solutions by stc","GITEX Experience","6-Dropped","18/08/2026","08/12/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1343","7864062","28/05/2026"
"Fajer Alsalloum","Communications, Space and Technology Commission - CST","AI solutions for multi-channel call center","6-Dropped","22/01/2026","08/12/2025","Sales & BD 1","RFI","Sell Direct","SCM","Non Etimad","SF-2025-1344","600000","25/12/2025"
"Rawan AlMusayid","D360 Bank","Call Center CX Partner","4-Submitted - Under Evaluation","31/12/2026","08/12/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1345","8613538","09/07/2026"
"Khalid AlEnezi","General Commission for Audiovisual Media","PPP - OP-2025-159830 - Advertising Sector Governance RFI (GAMR)","6-Dropped","04/05/2026","08/12/2025","Sales & BD 2","RFI","Sell Through solutions","CLM","Non Etimad","SF-2025-1346","2274694","20/12/2025"
"Ali Bin Zeair","Pulse by solutions","Winter Event","6-Dropped","08/04/2026","08/12/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1348","18500","11/12/2025"
"Fajer Alsalloum","National Water Company","Innovation LAB - MPO","4-Submitted - Under Evaluation","29/10/2026","08/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1350","2626947","15/12/2025"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","operate and develop the infrastructure on different location on MOD","6-Cancelled","29/01/2026","09/12/2025","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1351","6700000","10/12/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","This SF is duplicated please remove","6-Cancelled","11/03/2026","09/12/2025","STC & Sub","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1354","0","14/12/2025"
"Raed Hammad","sirar by stc","Sirar Cars and Driver","7-Handover Completed","29/03/2026","09/12/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1355","672247","18/12/2025"
"Bayan AlOlayan","Remat Al-Riyadh Development Company","operation and management of the local urban identity application center in Riyadh city","1-Identified","24/12/2026","09/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1356","2000000","18/12/2025"
"Abdullah Alfawaz","Ministry of Interior - Public Security","Etimad RFI: Operations and Maintenance of Public Security Devices, Systems, Applications, and Local Networks","3-Qualified In Progress","31/12/2026","10/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Etimad","SF-2025-1358","70000000","10/11/2026"
"Majid Al-Faifi","Ministry of Interior - Public Security","FA for event management for technology and AI activities","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1359","7000000","04/05/2026"
"Majid Al-Faifi","Ministry of Interior - Development Program","Manpower Projects","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2025-1360","7000000","04/05/2026"
"Majid Al-Faifi","Ministry of Interior - Special Forces For Environmental Security","FA to handle the event management and PR activities","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1361","7000000","04/05/2026"
"Majid Al-Faifi","Ministry of Interior - Special Forces For Environmental Security","IT and Tele Training Program","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","HRO","Non Etimad","SF-2025-1362","14000000","01/04/2026"
"Majid Al-Faifi","MOI - General Directorate of Narcotics Control (GDNC)","Call Center for Saudi National Commission for Narcotics Control (SNC)","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1363","3500000","04/05/2026"
"Majid Al-Faifi","Al Elm Company","FA Call Center for Eastern Projects","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1364","14000000","03/05/2026"
"Majid Al-Faifi","Al Elm Company","FA Call Center for Western Projects","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1365","14000000","04/05/2026"
"Bayan AlOlayan","SDAIA - National Information Center","Technical Training for the first Camp","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","HRO","Non Etimad","SF-2025-1366","14000000","01/03/2026"
"Bayan AlOlayan","SDAIA - National Information Center","Technical Training for the second camp","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","HRO","Non Etimad","SF-2025-1367","14000000","04/05/2026"
"Bayan AlOlayan","SDAIA - National Information Center","FA SDAIA leadership training program for 2026","6-Dropped","19/08/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","HRO","Non Etimad","SF-2025-1368","21000000","01/06/2026"
"Bayan AlOlayan","SDAIA - National Information Center","SDAIA Call Center for 2027","1-Identified","31/12/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Etimad","SF-2025-1369","100000000","01/12/2026"
"Khalid AlEnezi","Rackspace Arabia for Information Technology","Supporting Manpower for the Could Projects","6-Dropped","20/08/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1370","5000000","20/08/2026"
"Bayan AlOlayan","SDAIA - National Information Center","Financial Management support MS","6-Dropped","04/05/2026","10/12/2025","Sales & BD 2","RFQ","Sell Direct","F&A","Non Etimad","SF-2025-1371","5000000","04/05/2026"
"Raed Hammad","sirar by stc","Contact Center","4-Submitted - Under Evaluation","30/12/2026","10/12/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1372","730762","05/03/2026"
"Abdullah Alfawaz","Entrustment and Liquidation Center - Infath","Contact Center for Infath","1-Identified","24/12/2026","10/12/2025","Sales & BD 2","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1373","30000000","01/06/2026"
"Bayan AlOlayan","Saudi Credit Bank","Operation of the Unified Contact Center and Digital Services","6-Lost","27/01/2026","10/12/2025","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2025-1374","34601439","28/12/2025"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","CBU Residential Retention 2026","7-Handover Completed","12/04/2026","10/12/2025","STC & Sub","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1375","29000000","17/12/2025"
"Ziyad Aldriwish","Executive Offices Company","Call Center Services","7-Handover Completed","24/02/2026","10/12/2025","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1377","449640","14/12/2025"
"Rawan AlMusayid","Shared Services Program","SSP Call Center","4-Submitted - Under Evaluation","31/12/2026","11/12/2025","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2025-1378","0","07/01/2026"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","HRO Services to MOD's Career Transition Program","1-Identified","24/12/2026","13/12/2025","Sales & BD 1","RFI","Sell Direct","HRO","Non Etimad","SF-2025-1380","3000000","07/03/2026"
"Fajer Alsalloum","Misk Charity Foundation","STCSQR-22546","7-Handover Completed","02/02/2026","14/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1381","126115","21/12/2025"
"Fajer Alsalloum","Diriyah Gate Development Authority","L3 Resources for Infrastructure Project","7-Handover Completed","21/04/2026","14/12/2025","Giga","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1382","2167140","21/12/2025"
"Ziyad Aldriwish","Saudi Railway Company","Budget Analyst","7-Handover Completed","27/01/2026","14/12/2025","Sales & BD 1","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1383","153350","17/12/2025"
"Osayed Shadid","Council of Cooperative Health Insurance","Digital and Technical Solutions Development","6-Dropped","08/02/2026","14/12/2025","Sales & BD 1","RFI","Sell Direct","MPO","Non Etimad","SF-2025-1384","15000000","25/12/2025"
"Osayed Shadid","Health Holding Company","Contact Center","6-Cancelled","03/06/2026","14/12/2025","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1385","5000000","25/12/2025"
"Raed Hammad","channels by stc","Transfer from Channels to Solutions - STCSQR-22462","6-Cancelled","19/08/2026","14/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1386","487900","21/12/2025"
"Raed Hammad","Center3","New Hire Request - Alajlan & Alshiha","6-Cancelled","19/08/2026","14/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1387","1532653","21/12/2025"
"Ali Bin Zeair","Solutions by stc","STCSQR-22093","7-Handover Completed","28/04/2026","15/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1388","89081","18/12/2025"
"Khalid AlEnezi","Shaqraa University","MPO RFP Shaqra University","6-Lost","26/04/2026","15/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Etimad","SF-2025-1392","29829271","15/01/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Specialized MVNO Migration - STCS","6-Dropped","20/08/2026","15/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1393","0","21/12/2025"
"Fajer Alsalloum","National Water Company","ITMS _ MS - NWC - facility","7-Handover Completed","23/02/2026","15/12/2025","Sales & BD 1","RFQ","Sell Through solutions","Facility Management","Non Etimad","SF-2025-1394","18517659","24/12/2025"
"Ali Bin Zeair","Solutions by stc","Cloud Manage Services","7-Handover Completed","18/02/2026","16/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1396","4544748","17/02/2026"
"Osayed Shadid","Ministry of Industry And Mineral Resources","MIM - MPO framework agreement","4-Submitted - Under Evaluation","22/11/2026","16/12/2025","Sales & BD 1","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1397","3588191","20/12/2025"
"Raed Hammad","specialized by stc","Resource","6-Cancelled","19/08/2026","16/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1398","454189","25/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Corporate GD project 1641","7-Handover Completed","01/01/2026","17/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1399","1994993","24/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","STCSQR-22463 Project code 1297","7-Handover Completed","02/02/2026","17/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1402","198708","24/12/2025"
"Mohammad Alajlan","Pulse by solutions","Giza Offices Proposal","7-Handover Completed","22/04/2026","17/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1403","1500000","24/12/2025"
"Rawan AlMusayid","First Abu Dhabi Bank  ( FAB )","IVR & Contact Center Hybrid Managed Services","4-Submitted - Under Evaluation","30/11/2026","17/12/2025","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1404","14000000","08/02/2026"
"Fajer Alsalloum","Saudi Aramco","One Non OEM-System Engineer OP-2025-160239","7-Handover Completed","01/02/2026","17/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1405","252756","31/12/2025"
"Rawan AlMusayid","Konecta","HR Services for Konecta MEA (KSA Office)","6-Dropped","08/02/2026","17/12/2025","Sales & BD 1","RFQ","Sell Direct","HRO","Non Etimad","SF-2025-1406","20000","31/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","STCSQR-22459","6-Cancelled","12/01/2026","18/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1407","533333","25/12/2025"
"Rawan AlMusayid","Red Sea Global","USS RSG RESERVED CAPACITY","6-Dropped","03/02/2026","18/12/2025","Giga","RFQ","Sell Through solutions","SCM","Non Etimad","SF-2025-1410","225000","25/12/2025"
